id,id_pelicula,genero
1,1,Romance
2,2,Documentary
3,2,News
4,2,Sport
5,4,Action
6,4,Adventure
7,4,Biography
8,5,Drama
9,6,Drama
10,7,Drama
11,8,Drama
12,9,Adventure
13,9,Fantasy
14,20,Drama
15,21,Drama
16,27,Comedy
17,30,Drama
18,30,War
20,39,Drama
21,41,Crime
24,49,Drama
25,49,Romance
26,51,Adventure
27,51,Drama
28,54,Drama
29,56,Drama
30,57,Biography
31,57,Drama
32,57,Family
33,58,Drama
36,64,Drama
37,64,History
39,69,Drama
40,69,History
41,71,Drama
42,71,Romance
43,73,War
44,75,Drama
45,79,Drama
48,83,Drama
51,96,Drama
52,98,Drama
53,100,Drama
55,102,Biography
56,102,Drama
57,102,History
59,105,Drama
60,108,Sci-Fi
61,109,Drama
63,112,Drama
64,113,Drama
65,113,Romance
68,122,Drama
69,122,History
71,128,Adventure
72,128,Drama
73,128,Fantasy
74,131,Drama
77,137,Drama
78,139,Biography
79,139,Drama
82,148,Documentary
83,148,War
85,160,Drama
86,161,Drama
87,163,Biography
88,163,Drama
89,163,Romance
91,169,Drama
92,169,History
93,171,History
94,171,War
95,173,Drama
97,177,Drama
98,178,Drama
99,181,Drama
100,181,Romance
101,185,Action
102,185,Drama
103,185,Thriller
104,186,Crime
105,186,Thriller
106,192,Adventure
107,195,Drama
108,195,Thriller
109,196,Drama
110,196,Western
111,197,Drama
112,198,Drama
116,204,Drama
117,204,War
127,220,Drama
128,220,History
133,228,Drama
134,229,Crime
135,229,Drama
136,229,Romance
137,231,Drama
140,233,Crime
141,233,Drama
144,239,Drama
146,242,Drama
148,245,Drama
149,246,Drama
150,250,Documentary
154,255,Comedy
155,256,Drama
156,257,Crime
157,257,Drama
159,260,Drama
160,261,Comedy
161,261,Fantasy
162,262,Adventure
163,262,Drama
164,262,Romance
166,264,Crime
167,264,Drama
179,277,Drama
180,278,Crime
181,278,Drama
185,282,Drama
186,282,War
189,286,Drama
190,287,Drama
191,289,Crime
192,289,Drama
193,289,Mystery
194,290,Drama
197,296,Drama
198,296,History
205,304,Adventure
207,308,Western
208,309,Comedy
209,309,Drama
210,310,Biography
211,310,Drama
212,310,History
215,313,Adventure
216,314,Drama
217,315,Drama
220,317,Drama
225,322,Biography
226,323,Drama
230,330,Drama
231,330,Fantasy
232,330,Horror
233,333,Drama
234,335,Drama
235,335,Romance
241,342,Crime
242,342,Drama
243,344,Adventure
244,344,Drama
247,350,War
249,353,Action
250,353,Adventure
251,355,Comedy
252,355,Crime
254,357,Crime
255,357,Thriller
256,358,Adventure
257,359,Crime
258,359,Drama
260,362,Adventure
261,362,Drama
262,362,Romance
263,363,Drama
264,365,Adventure
265,365,Comedy
266,366,Documentary
267,366,Drama
268,366,Western
269,367,Adventure
270,369,Drama
272,372,Drama
273,372,Romance
276,375,Adventure
278,379,Drama
280,381,Western
282,383,Drama
283,384,Drama
284,385,Drama
286,387,Crime
287,387,Drama
288,387,Horror
289,388,Drama
292,391,Drama
293,391,Western
296,394,Drama
297,395,Adventure
298,395,Biography
299,395,Western
300,397,Drama
302,399,Adventure
306,403,Drama
308,405,Drama
309,406,Adventure
310,406,Crime
312,408,Comedy
313,409,Western
316,411,Adventure
317,411,Drama
321,417,Adventure
322,417,Drama
323,417,History
325,419,Adventure
326,419,Drama
328,422,Action
329,422,Drama
330,422,Romance
331,423,Drama
333,425,Drama
341,433,Drama
342,433,Fantasy
343,434,Drama
344,435,Drama
345,435,Fantasy
346,436,Drama
358,445,Drama
359,445,Romance
361,449,Drama
362,450,Drama
363,451,Drama
364,451,War
370,459,Adventure
372,461,Drama
373,461,Music
374,461,Western
377,466,Drama
378,467,Drama
381,471,Crime
382,471,Drama
383,472,Comedy
384,473,Drama
386,477,Drama
389,480,Action
393,484,Crime
394,484,Drama
398,488,Crime
399,488,Drama
401,491,Drama
402,494,Adventure
405,497,Comedy
408,500,Drama
415,507,Drama
418,511,Adventure
419,511,Horror
420,513,Drama
421,513,History
422,514,Horror
423,515,Drama
427,519,Drama
428,519,Romance
431,522,Drama
433,524,Action
437,528,Drama
438,528,Mystery
444,532,Adventure
445,532,Comedy
446,532,Family
450,536,Crime
451,536,Horror
452,536,Mystery
453,537,Drama
456,541,Drama
457,541,Fantasy
462,548,Drama
463,548,History
464,549,History
465,549,Western
468,553,Drama
469,553,History
470,554,Drama
476,560,Drama
478,562,Drama
479,563,Drama
483,569,Comedy
485,571,Drama
486,572,Adventure
487,572,Drama
488,572,Romance
489,573,Drama
490,573,War
496,579,Action
497,579,Adventure
498,579,Biography
508,589,Drama
511,591,Drama
512,592,Adventure
514,594,Drama
517,599,Action
519,602,Drama
521,604,Drama
522,605,Comedy
524,607,Drama
525,608,Comedy
526,608,Drama
527,609,Drama
528,609,Romance
531,612,Drama
534,614,Action
535,614,Adventure
536,614,Drama
537,615,Crime
538,615,Drama
539,616,Drama
542,618,Drama
543,619,Drama
546,621,Adventure
547,621,Mystery
548,621,Romance
549,622,Drama
558,633,Comedy
563,637,Drama
564,638,Adventure
570,644,Adventure
571,645,Drama
573,647,Drama
574,647,War
576,649,Drama
577,650,Fantasy
578,651,Adventure
579,653,Crime
580,653,Drama
582,658,Adventure
585,661,Crime
586,661,Drama
588,663,Drama
591,666,Drama
592,666,Romance
602,674,Adventure
603,674,Comedy
604,674,Family
607,677,Action
608,677,Adventure
609,677,Drama
618,689,Drama
622,694,Comedy
623,694,Drama
629,699,Drama
630,699,History
632,701,Drama
633,701,History
634,701,Romance
636,703,Drama
637,703,Fantasy
641,707,Action
642,707,Adventure
643,707,Drama
645,709,Crime
646,709,Drama
647,709,Western
648,710,Drama
653,717,Horror
658,721,Drama
669,733,Drama
670,733,Western
674,736,Drama
675,736,War
676,737,Action
677,737,Drama
678,737,Romance
686,743,Drama
687,743,Mystery
696,753,Drama
699,756,Documentary
701,758,Drama
707,765,Comedy
708,766,Drama
709,766,War
712,769,Drama
716,774,Adventure
717,775,Drama
720,779,Drama
721,780,Drama
728,785,Drama
731,788,Drama
732,788,Western
740,796,Documentary
741,797,Drama
743,799,Comedy
744,799,Drama
754,807,Comedy
755,807,Drama
756,807,Romance
763,813,Drama
764,813,Romance
767,816,Crime
768,816,Drama
769,817,Drama
770,817,Romance
774,821,Adventure
775,821,Mystery
778,826,Documentary
779,826,Sport
788,832,Comedy
789,832,Crime
790,832,Thriller
791,835,Crime
792,835,Drama
793,836,Adventure
794,836,Family
795,836,Fantasy
797,838,Drama
801,842,Adventure
802,844,Drama
803,844,Romance
806,847,Adventure
807,847,Drama
810,849,Comedy
812,851,Comedy
823,860,Drama
824,861,Drama
827,863,Drama
836,872,Adventure
837,872,Comedy
838,872,Drama
839,873,Drama
844,877,Drama
845,877,War
847,879,Drama
848,879,Sci-Fi
853,884,Comedy
860,891,Drama
867,896,War
868,897,Adventure
869,897,Mystery
872,900,Drama
876,905,Drama
880,910,Drama
881,911,Drama
883,913,Action
884,913,Drama
885,913,History
888,915,Drama
889,915,Romance
890,915,War
891,916,Drama
892,916,Musical
893,917,Drama
894,918,Adventure
903,925,Comedy
904,926,Drama
905,926,Romance
907,928,Drama
908,928,Western
909,929,Drama
911,931,Comedy
912,931,Western
919,936,Mystery
920,937,Comedy
953,961,Drama
954,961,History
955,961,War
961,967,Drama
963,969,Comedy
964,969,Drama
970,976,Drama
974,980,Comedy
975,980,Drama
976,980,Romance
977,981,Drama
985,988,Drama
986,988,Romance
987,989,Drama
988,990,Drama
990,992,Adventure
991,993,Adventure
992,993,Romance
993,995,Drama
994,995,Western
996,998,Drama
998,1000,Comedy
999,1000,Romance
1003,1004,Crime
1004,1004,Horror
1005,1004,Mystery
1006,1005,Comedy
1015,1015,Drama
1023,1023,Drama
1024,1023,History
1026,1025,Drama
1029,1028,Drama
1039,1037,Comedy
1041,1039,Drama
1043,1043,Biography
1044,1043,Drama
1045,1044,Drama
1049,1046,Drama
1054,1052,Drama
1055,1053,Drama
1061,1058,Adventure
1062,1058,Crime
1063,1058,Drama
1064,1060,Drama
1065,1061,Adventure
1066,1061,Comedy
1076,1068,Adventure
1077,1068,Drama
1078,1068,Romance
1082,1071,Drama
1083,1072,Comedy
1084,1072,Drama
1088,1076,Comedy
1089,1077,Drama
1090,1077,Romance
1091,1077,Western
1097,1082,Drama
1099,1084,Romance
1105,1090,Adventure
1110,1093,Comedy
1111,1094,Drama
1112,1094,Western
1114,1096,Drama
1131,1109,Drama
1132,1109,History
1133,1109,Romance
1151,1124,Documentary
1155,1127,Crime
1156,1127,Horror
1157,1127,Mystery
1158,1128,Crime
1159,1128,Horror
1160,1128,Mystery
1166,1133,Adventure
1167,1133,Comedy
1169,1135,Crime
1170,1135,Drama
1171,1135,Horror
1174,1138,Drama
1181,1145,Drama
1182,1146,Action
1183,1146,Adventure
1184,1146,Drama
1185,1147,Drama
1186,1148,Comedy
1187,1148,Drama
1188,1149,Drama
1191,1152,Comedy
1192,1153,Biography
1193,1153,Drama
1194,1153,History
1195,1154,Documentary
1196,1155,Drama
1205,1163,Drama
1207,1165,Drama
1212,1169,Crime
1213,1169,Drama
1214,1170,Drama
1215,1170,Romance
1216,1172,Drama
1218,1174,Adventure
1219,1174,Comedy
1220,1174,Western
1222,1177,Adventure
1223,1177,Romance
1225,1179,Drama
1226,1181,Drama
1227,1182,Drama
1228,1182,Horror
1229,1182,Sci-Fi
1234,1186,Drama
1236,1188,Drama
1245,1196,Crime
1246,1196,Drama
1247,1197,Adventure
1248,1197,Drama
1259,1206,Adventure
1260,1206,Drama
1261,1206,Romance
1265,1212,Adventure
1266,1213,Drama
1267,1214,Drama
1268,1215,Drama
1269,1215,History
1281,1225,Action
1282,1225,Adventure
1283,1225,Crime
1293,1235,Comedy
1295,1237,Drama
1296,1237,History
1297,1237,War
1304,1244,Drama
1308,1247,Adventure
1309,1247,Crime
1310,1247,Drama
1315,1252,Adventure
1316,1252,Drama
1317,1252,Mystery
1320,1254,Comedy
1321,1254,Drama
1323,1257,Drama
1324,1257,History
1333,1266,Drama
1334,1266,Horror
1339,1272,Comedy
1340,1272,Western
1347,1278,Crime
1348,1278,Drama
1358,1286,Adventure
1359,1286,Romance
1362,1290,Action
1363,1290,Adventure
1364,1291,Drama
1365,1292,Comedy
1372,1300,Drama
1373,1300,Romance
1374,1301,Comedy
1375,1301,Drama
1377,1303,Documentary
1378,1303,War
1379,1304,Adventure
1380,1304,Romance
1381,1304,Western
1385,1309,Drama
1393,1317,Western
1397,1321,Fantasy
1400,1324,Drama
1407,1331,Drama
1409,1334,Action
1410,1334,Adventure
1411,1334,Drama
1414,1338,Drama
1415,1338,Horror
1416,1339,Comedy
1417,1339,Drama
1418,1340,Comedy
1425,1346,Adventure
1428,1348,Adventure
1429,1348,Drama
1430,1348,Romance
1431,1349,Adventure
1434,1353,Drama
1435,1353,History
1436,1354,Action
1437,1354,Adventure
1438,1354,Drama
1441,1356,Drama
1443,1358,Drama
1444,1358,Fantasy
1445,1358,Horror
1446,1359,Biography
1447,1359,Drama
1451,1363,Biography
1452,1363,Crime
1453,1363,Drama
1464,1371,Adventure
1466,1373,Drama
1467,1373,Mystery
1468,1373,Romance
1471,1376,Adventure
1472,1378,Fantasy
1475,1383,Adventure
1476,1383,Crime
1477,1383,Thriller
1486,1389,Adventure
1487,1389,Drama
1488,1390,Drama
1516,1414,Drama
1517,1415,Drama
1518,1415,Romance
1526,1424,Comedy
1528,1426,Action
1529,1426,Adventure
1536,1435,Crime
1537,1435,Drama
1538,1435,Romance
1548,1443,Drama
1549,1443,Romance
1550,1444,Comedy
1554,1449,Drama
1562,1455,Drama
1569,1461,Drama
1570,1461,Romance
1571,1462,Action
1572,1462,Adventure
1573,1462,Comedy
1576,1465,Comedy
1579,1472,Drama
1583,1477,Drama
1588,1483,Adventure
1589,1483,Drama
1590,1484,Adventure
1592,1486,Drama
1593,1486,Romance
1595,1488,Action
1596,1488,Adventure
1597,1488,Crime
1599,1490,Drama
1602,1493,Action
1603,1493,Adventure
1606,1495,Drama
1615,1505,Horror
1617,1507,Drama
1618,1507,History
1620,1509,Drama
1621,1509,War
1634,1523,Comedy
1636,1525,Adventure
1637,1525,Drama
1638,1525,Romance
1639,1526,Adventure
1642,1529,Drama
1647,1533,Drama
1651,1537,Drama
1664,1548,Drama
1671,1554,Comedy
1672,1554,Romance
1675,1558,Action
1676,1558,Adventure
1677,1558,Sci-Fi
1684,1564,Action
1685,1564,Drama
1688,1567,Drama
1691,1571,Drama
1694,1575,Adventure
1695,1575,Comedy
1696,1575,Drama
1697,1576,Drama
1698,1577,Adventure
1699,1577,Comedy
1700,1577,Romance
1708,1587,Drama
1709,1588,Crime
1710,1588,Drama
1711,1589,Western
1718,1596,Adventure
1719,1597,Drama
1726,1604,Drama
1732,1609,Documentary
1733,1609,War
1737,1611,Action
1738,1611,Adventure
1741,1613,Drama
1742,1614,Drama
1743,1614,War
1745,1616,Action
1746,1616,Drama
1747,1616,Romance
1748,1617,Drama
1753,1621,Drama
1761,1626,Drama
1762,1626,Horror
1764,1628,Adventure
1765,1629,Drama
1767,1631,Comedy
1768,1631,Western
1772,1634,Romance
1776,1638,Drama
1777,1639,Drama
1778,1639,History
1791,1647,Drama
1792,1647,Romance
1793,1648,Drama
