id_pelicula,titulo,año,duracion
1,Miss Jerry,1894,45
2,The Corbett-Fitzsimmons Fight,1897,100
4,The Story of the Kelly Gang,1906,70
5,L'enfant prodigue,1907,90
6,Robbery Under Arms,1907,
7,Amleto,1908,
8,Don Quijote,1908,
9,The Fairylogue and Radio-Plays,1908,120
20,Hamlet,1910,
21,Locura de amor,1909,45
27,Salome Mad,1909,
30,Gøngehøvdingen,1909,
39,Amleto,1910,
41,Ansigttyven I,1910,
49,La dame aux camélias,1912,
51,Don Juan de Serrallonga,1910,58
54,Hamlet,1911,
56,Kapergasten,1910,
57,The Life of Moses,1909,50
58,"Maiskaya noch, ili utoplennitsa",1910,
64,Rainha Depois de Morta Inês de Castro,1910,
69,Valdemar Sejr,1910,
71,Amor fatal,1911,
73,The Battle of Trafalgar,1911,51
75,"Captain Midnight, the Bush King",1911,
79,Ekspeditricen,1911,52
83,De fire djævle,1911,35
96,Les misérables - Époque 1: Jean Valjean,1913,60
98,Oedipus Rex,1911,56
100,Den sorte drøm,1911,53
102,Sweet Nell of Old Drury,1911,50
105,Die Verräterin,1911,48
108,L'électrocuté,1911,
109,The Adventures of Lieutenant Petrosino,1912,47
112,Anfisa,1912,45
113,Anny - en gatepiges roman,1912,68
122,Cleopatra,1912,100
128,L'inferno,1911,71
131,Dødsspring til hest fra cirkuskuplen,1912,45
137,Den flyvende cirkus,1912,46
139,From the Manger to the Cross,1912,71
148,Life of Villa,1912,
160,Oliver Twist,1912,
161,Oliver Twist,1912,
163,Madame DuBarry,1919,113
169,Quo Vadis?,1913,120
171,Independenta Romaniei,1912,120
173,Richard III,1912,55
177,Den sorte kansler,1912,48
178,De svarta maskerna,1912,60
181,Az utolsó bohém,1913,
185,What Happened to Mary,1912,150
186,Zigomar contre Nick Carter,1912,48
192,The Adventures of Kathlyn,1913,300
195,Der Andere,1913,48
196,Arizona,1913,45
197,Arvingen til Skjoldborg,1914,50
198,Atlantis,1913,121
204,The Battle of Gettysburg,1913,48
220,The Count of Monte Cristo,1913,69
228,East Lynne,1913,69
229,What 80 Million Women Want,1913,56
231,Evangeline,1914,50
233,Fantômas I: À l'ombre de la guillotine,1913,54
239,From Dusk to Dawn,1913,90
242,Germinal,1913,150
245,Gränsfolken,1913,51
246,Hamlet,1913,64
250,Dr. Mawson in the Antarctic,1913,68
255,Házasodik az uram,1913,
256,Ildfluen,1913,47
257,In the Bishop's Carriage,1913,50
260,Ingeborg Holm,1913,96
261,Die Insel der Seligen,1913,49
262,Ivanhoe,1913,53
264,Fantômas II: Juve contre Fantômas,1913,61
277,Ma l'amor mio non muore...,1914,90
278,Macbeth,1913,50
282,Maudite soit la guerre,1914,50
286,Miraklet: Tavlor ur det katolska samfundslivet,1913,100
287,Les misérables - Époque 2: Fantine,1913,300
289,Le mort qui tue,1913,90
290,"Home, Sweet Home",1914,55
296,One Hundred Years of Mormonism,1913,90
304,The Prisoner of Zenda,1913,55
308,The Rattlesnake,1913,56
309,A Regiment of Two,1913,57
310,Richard Wagner,1913,110
313,Robin Hood,1913,
314,Sapho,1913,
315,The Sea Wolf,1913,70
317,Shadows of the Moulin Rouge,1913,60
322,Sixty Years a Queen,1913,
323,Sodoms Ende,1913,
330,Der Student von Prag,1913,83
333,Ten Nights in a Barroom,1913,
335,Tess of the D'Urbervilles,1913,
342,Traffic in Souls,1913,88
344,Gli ultimi giorni di Pompei,1913,88
350,Victory,1913,
353,Who Will Marry Mary?,1913,
355,Wo ist Coletti?,1913,86
357,"The $5,000,000 Counterfeiting Plot",1914,
358,'Round the World in 80 Days,1914,
359,On His Majesty's Service,1914,
362,Across the Pacific,1914,50
363,The Active Life of Dolly of the Dailies,1914,170
365,The Adventures of Andy Clark,1914,
366,The Adventures of Buffalo Bill,1917,
367,The Adventures of Kitty Cobb,1914,
369,After the Ball,1914,
372,Alexandra,1914,
375,America,1914,
379,Anna Karenina,1914,
381,Az aranyásó,1914,
383,Arme Eva,1916,63
384,As Ye Sow,1914,50
385,Assunta Spina,1915,72
387,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78
388,Badehotellet,1915,45
391,The Bargain,1914,70
394,The Battle of the Sexes,1914,50
395,Beating Back,1914,60
397,Behind the Scenes,1914,75
399,The Beloved Adventurer,1914,450
403,The Boer War,1914,
405,Born Again,1914,
406,The Boundary Rider,1914,
408,Brewster's Millions,1914,
409,In the Days of the Thundering Herd,1914,48
411,Burning Daylight: The Adventures of 'Burning Daylight' in Alaska,1914,50
417,Cabiria,1914,148
419,The Call of the North,1914,
422,Cameo Kirby,1914,50
423,Captain Alvarez,1914,60
425,Captain Swift,1914,
433,The Chimes,1914,50
434,The Christian,1914,80
435,Cinderella,1914,52
436,The Circus Man,1914,50
445,The Crucible,1914,
449,Damaged Goods,1914,
450,Damon and Pythias,1914,100
451,Dan,1914,
459,The Dishonored Medal,1914,
461,Dodge City Trail,1936,56
466,Dömen icke,1914,57
467,The Eagle's Mate,1914,
471,L'enfant de Paris,1913,124
472,Engelein,1914,49
473,Enoch Arden,1914,
477,The Escape,1914,60
480,The Exploits of Elaine,1914,220
484,Fantômas contre Fantômas,1914,59
488,Le faux magistrat,1914,70
491,"A Fight for Freedom; Or, Exiled to Siberia",1914,
494,Fire and Sword,1914,
497,A Florida Enchantment,1914,63
500,"Forgiven; Or, The Jack of Diamonds",1914,
507,Gatans barn,1914,54
511,The Ghost Breaker,1914,60
513,Cajus Julius Caesar,1914,112
514,Der Golem,1914,60
515,A Good Little Devil,1914,50
519,The Great Leap: Until Death Do Us Part,1914,
522,Halvblod,1913,69
524,The Hazards of Helen,1914,1428
528,Det hemmelighedsfulde X,1914,84
532,"His Majesty, the Scarecrow of Oz",1914,59
536,Der Hund von Baskerville,1914,65
537,The House Next Door,1914,
541,Hypocrites,1915,54
548,In the Land of the Head Hunters,1914,65
549,The Indian Wars,1914,
553,"Ireland, a Nation",1914,50
554,Jane Eyre,1914,50
560,Joseph in the Land of Egypt,1914,52
562,Judith of Bethulia,1914,61
563,The Jungle,1914,75
569,A kölcsönkért csecsemök,1915,
571,The Land of the Lost,1914,
572,The Last Egyptian,1914,
573,The Last Volunteer,1914,74
579,The Life of General Villa,1914,105
589,Little Lord Fauntleroy,1914,
591,Lola,1914,50
592,The Long Arm of the Law,1914,
594,The Lost Paradise,1914,
599,Lucille Love: The Girl of Mystery,1914,300
602,The Man Who Could Not Lose,1914,
604,The Man from Home,1914,
605,The Man from Mexico,1914,
607,Man of the Hour,1914,50
608,The Man on the Box,1914,
609,Manon Lescaut,1914,60
612,Martin Eden,1914,50
614,The Master Key,1914,310
615,The Master Mind,1914,
616,McVeagh of the South Seas,1914,59
618,The Merchant of Venice,1914,
619,Michael Strogoff,1914,
621,The Million Dollar Mystery,1914,
622,The Million Dollar Robbery,1914,
633,Mrs. Black Is Back,1914,
637,My Official Wife,1914,50
638,The Mysterious Man of the Jungle,1914,
644,The Mystery of the Poison Pool,1914,
645,La donna nuda,1914,60
647,Ned med Vaabnene,1914,73
649,Nemye svideteli,1914,65
650,Neptune's Daughter,1914,70
651,The Next in Command,1914,
653,The Nightingale,1914,
658,An Odyssey of the North,1914,
661,One Wonderful Night,1914,
663,The Only Son,1914,
666,Otello,1914,
674,The Patchwork Girl of Oz,1914,81
677,The Perils of Pauline,1914,199
689,A Prince of India,1914,
694,The Ragged Earl,1914,
699,Le chevalier de Maison-Rouge,1914,109
701,Richelieu,1914,
703,Rip Van Winkle,1914,
707,Rose of the Rancho,1914,50
709,Salomy Jane,1914,85
710,Samson,1914,60
717,Ein seltsamer Fall,1914,50
721,The Sign of the Cross,1914,70
733,The Spoilers,1914,110
736,The Spy,1914,
737,The Squaw Man,1914,74
743,A Study in Scarlet,1914,
753,Tess of the Storm Country,1914,80
756,Thirty Leagues Under the Sea,1914,13
758,The Three Musketeers,1914,
765,Tillie's Punctured Romance,1914,82
766,Tirol in Waffen,1914,
769,A tolonc,1915,67
774,The Trey o' Hearts,1914,310
775,Trilby,1914,45
779,The Typhoon,1914,
780,Uncle Tom's Cabin,1914,54
785,The Valley of the Moon,1914,
788,The Virginian,1914,55
796,The War of the World,1914,
797,Weergevonden,1914,45
799,What's His Name,1914,
807,The Wishing Ring: An Idyll of Old England,1914,54
813,The Woman in Black,1914,55
816,"The World, the Flesh and the Devil",1914,50
817,The Wrath of the Gods,1914,56
821,Zudora,1914,
826,1915 World's Championship Series,1915,
832,After Five,1915,50
835,Alias Jimmy Valentine,1915,65
836,Alice in Wonderland,1915,52
838,Aloha Oe,1915,50
842,An American Gentleman,1915,
844,Anna Karenina,1915,50
847,The Arab,1915,50
849,Are You a Mason?,1915,
851,The Arrival of Perpetua,1915,50
860,Barbara Frietchie,1915,50
861,Barnaby Rudge,1915,
863,The Battle Cry of Peace,1915,90
872,Betty in Search of a Thrill,1915,
873,Between Men,1915,50
877,The Birth of a Nation,1915,195
879,The Black Box,1915,195
884,Blindekuh,1915,
891,The Boss,1915,50
896,Britain Prepared,1915,
897,The Broken Coin,1915,440
900,The Builder of Bridges,1915,50
905,A Butterfly on the Wheel,1915,50
910,Camille,1915,50
911,Cap'n Eri,1915,
913,Captain Courtesy,1915,50
915,The Captive,1915,50
916,Carmen,1915,59
917,Carmen,1915,60
918,The Carpet from Bagdad,1915,
925,Charley's Aunt,1925,80
926,The Cheat,1915,59
928,A Child of the Prairie,1915,63
929,Children of Eve,1915,73
931,Chimmie Fadden Out West,1915,50
936,The Circular Staircase,1915,
937,Clarita y Peladilla van a los toros,1915,
961,The Coward,1915,77
967,Cross Currents,1915,50
969,The Cub,1915,50
976,The Darkening Trail,1915,54
980,David Harum,1915,50
981,The Dawn of a Tomorrow,1915,50
988,Destruction,1915,50
989,The Devil's Daughter,1915,50
990,The Devil,1915,
992,The Diamond from the Sky,1915,
993,The Dictator,1915,
995,The Disciple,1915,50
998,Don Quixote,1915,50
1000,Double Trouble,1915,50
1004,Das dunkle Schloß,1915,50
1005,The Dust of Egypt,1915,60
1015,The Eternal City,1915,80
1023,The Face in the Moonlight,1915,50
1025,The Fairy and the Waif,1915,50
1028,Fanchon the Cricket,1915,75
1037,The Fixer,1915,50
1039,The Flaming Sword,1915,50
1043,Florence Nightingale,1915,
1044,The Flying Twins,1915,
1046,A Fool There Was,1915,67
1052,The Foundling,1915,
1053,Four Feathers,1915,50
1058,From the Valley of the Missing,1915,50
1060,The Galley Slave,1915,50
1061,The Galloper,1915,
1068,The Gentleman from Indiana,1915,50
1071,Ghosts,1915,49
1072,A Gilded Fool,1915,50
1076,A Girl of Yesterday,1915,
1077,The Girl of the Golden West,1915,45
1082,The Golden Chance,1915,74
1084,The Goose Girl,1915,
1090,Graustark,1915,
1093,The Great Adventure,1916,60
1094,The Great Divide,1915,52
1096,Greater Love Hath No Man,1915,50
1109,Hearts in Exile,1915,59
1124,The History of the World's Greatest War,1915,
1127,"Der Hund von Baskerville, 3. Teil - Das unheimliche Zimmer",1916,
1128,"Der Hund von Baskerville, 4. Teil",1916,
1133,How Molly Malone Made Good,1915,60
1135,Hævnens nat,1916,100
1138,The Immigrant,1915,60
1145,Inspiration,1915,
1146,The Iron Strain,1915,60
1147,The Island of Regeneration,1915,60
1148,It's No Laughing Matter,1915,
1149,The Italian,1915,72
1152,Jane,1915,50
1153,Jane Shore,1915,79
1154,Japan,1915,
1155,Jeanne Doré,1915,50
1163,The Juggernaut,1915,62
1165,Just Jim,1915,
1169,Kindling,1915,50
1170,Kreutzer Sonata,1915,50
1172,Lady Audley's Secret,1915,50
1174,The Lamb,1915,56
1177,The Last Chapter,1914,
1179,The Last of the Mafia,1915,
1181,Let Katie Do It,1916,50
1182,Life Without Soul,1915,70
1186,The Lily and the Rose,1915,50
1188,A Little Brother of the Rich,1915,50
1196,A London Flat Mystery,1915,50
1197,The Lone Star Rush,1915,50
1206,The Lure of the Mask,1915,
1212,Maciste,1915,67
1213,Madame Butterfly,1915,61
1214,Madame de Thèbes,1915,68
1215,The Magic Skin,1915,60
1225,A Man and His Mate,1915,
1235,Marrying Money,1915,50
1237,Martyrs of the Alamo,1915,71
1244,McTeague,1916,50
1247,The Middleman,1915,
1252,The Millionaire Baby,1915,60
1254,The Misleading Lady,1916,50
1257,Mistress Nell,1915,
1266,Mortmain,1915,50
1272,Mrs. Plum's Pudding,1915,50
1278,Mysteries of London,1915,49
1286,Neal of the Navy,1915,
1290,The New Exploits of Elaine,1915,
1291,The Nigger,1915,50
1292,A Night Out,1916,50
1300,Old Heidelberg,1915,50
1301,The Old Homestead,1915,50
1303,On the Firing Line with the Germans,1915,90
1304,On the Night Stage,1915,62
1309,Out of the Darkness,1915,
1317,Passing of the Oklahoma Outlaws,1915,
1321,Peer Gynt,1915,50
1324,Pennington's Choice,1915,50
1331,Playing Dead,1915,58
1334,The Plunderer,1915,50
1338,Posle smerti,1915,46
1339,The Pretenders,1915,
1340,Pretty Mrs. Smith,1915,50
1346,The Prince and the Pauper,1915,50
1348,Princess Romanoff,1915,50
1349,The Prisoner of Zenda,1915,
1353,La reine Margot,1914,40
1354,The Quest,1915,
1356,Rags,1915,66
1358,Rapsodia satanica,1917,55
1359,The Raven,1915,57
1363,The Regeneration,1915,72
1371,The Romance of Elaine,1915,
1373,The Rosary,1915,
1376,The Rug Maker's Daughter,1915,
1378,Rumpelstiltskin,1915,
1383,The Sable Lorcha,1915,50
1389,Saved from the Harem,1915,
1390,Scandal,1915,50
1414,La signora delle camelie,1915,
1415,The Silent Voice,1915,60
1424,The Slim Princess,1915,
1426,The Social Pirates,1916,
1435,The Soul of Broadway,1915,50
1443,The Stolen Voice,1915,50
1444,Der Stolz der Firma,1914,47
1449,Strejken,1914,78
1455,Sweet Alyssum,1915,59
1461,Temptation,1915,60
1462,A Texas Steer,1915,
1465,Tillie's Tomato Surprise,1915,
1472,Trilby,1915,59
1477,The Two Orphans,1915,70
1483,The Unknown,1915,50
1484,Unto the Darkness,1915,
1486,The Valley of Decision,1916,50
1488,Les vampires,1915,421
1490,Vanity Fair,1915,
1493,The Ventures of Marguerite,1915,
1495,Via Wireless,1915,52
1505,Zhenshchina vampir,1915,
1507,Voyna i mir,1915,100
1509,The Warrens of Virginia,1915,50
1523,The Whirl of Life,1915,60
1525,The White Pearl,1915,
1526,The White Scar,1915,50
1529,Who Pays?,1915,360
1533,Wildfire,1915,50
1537,The Wolf Man,1915,
1548,Het wrak van de Noorzee,1915,60
1554,Young Romance,1915,59
1558,"20,000 Leagues Under the Sea",1916,105
1564,The Adventures of Peg o' the Ring,1916,300
1567,Alien Souls,1916,50
1571,Alsace,1916,
1575,American Aristocracy,1916,52
1576,The American Beauty,1916,50
1577,The Americano,1916,61
1587,Arms and the Woman,1916,50
1588,Arsene Lupin,1916,74
1589,The Aryan,1916,50
1596,Autumn,1916,50
1597,Hämnaren,1915,49
1604,Balettprimadonnan,1916,54
1609,The Battle of the Somme,1916,74
1611,Beatrice Fairfax,1916,300
1613,The Beggar of Cawnpore,1916,60
1614,Behind the Lines,1916,50
1616,Ben Blair,1916,50
1617,El beso de la muerte,1917,72
1621,Betty of Greystone,1916,50
1626,Black Orchids,1917,50
1628,The Black Wolf,1917,50
1629,The Blacklist,1916,50
1631,Blue Blood and Red,1916,50
1634,La vie de Bohème,1916,50
1638,The Brand of Cowardice,1916,50
1639,Brigadier Gerard,1915,50
1647,Die Börsenkönigin,1918,53
1648,The Call of the Cumberlands,1916,62
1650,The Captive God,1916,50
1654,The Chalice of Sorrow,1916,50
1659,A Child of the Paris Streets,1916,50
1661,The Children Pay,1916,50
1662,The Children in the House,1916,50
1664,Christus,1916,88
1667,Civilization,1916,85
1678,The Cossack Whip,1916,61
1680,The Crimson Stain Mystery,1916,
1682,The Crisis,1916,100
1687,Daphne and the Pirate,1916,50
1689,The Daring of Diana,1916,50
1690,A Daughter of the Gods,1916,180
1692,Davy Crockett,1916,50
1693,The Dawn Maker,1916,50
1697,The Deserter,1916,50
1699,Destiny's Toy,1916,52
1702,The Devil at His Elbow,1916,50
1704,The Devil's Double,1916,50
1705,The Devil's Needle,1916,59
1708,Diane of the Follies,1916,50
1715,The Dream Girl,1916,
1716,Le droit à la vie,1917,47
1718,The Dumb Girl of Portici,1916,112
1720,Dödskyssen,1916,65
1723,East Lynne,1916,50
1724,Az egymillió fontos bankó,1917,
1727,Elusive Isabel,1916,50
1730,An Enemy to the King,1916,60
1733,Esther,1916,40
1734,The Eternal Grind,1916,
1735,The Eternal Sappho,1916,50
1737,The Evil Women Do,1916,50
1740,The Fable of the Kid Who Shifted His Ideals to Golf and Finally Became a Baseball Fan and Took the Only Known Cure,1916,
1742,The Fall of a Nation,1916,75
1746,The Feast of Life,1916,50
1748,A fekete szivárvány,1917,
1752,Fifty-Fifty,1916,55
1757,Flirting with Fate,1916,50
1760,The Flying Torpedo,1916,50
1762,For the Defense,1916,50
1764,The Foundling,1916,
1766,Friday the 13th,1916,50
1768,Fången på Karlstens fästning,1916,61
1769,Der G.m.b.H. Tenor,1916,
1774,Der gemischte Frauenchor,1916,
1775,Genie tegen geweld,1916,70
1776,The Gilded Cage,1916,50
1782,Gloria's Romance,1916,
1787,Going Straight,1916,60
1790,The Good Bad-Man,1916,50
1791,The Grasp of Greed,1916,50
1797,Gretchen the Greenhorn,1916,58
1802,The Habit of Happiness,1916,50
1804,The Half-Breed,1916,73
1806,The Hand of Peril,1916,66
1810,Havsgamar,1916,51
1815,The Heart of Nora Flynn,1916,50
1818,The Heart of a Hero,1916,68
1822,Hell's Hinges,1916,64
1833,His Picture in the Papers,1916,62
1835,Hoffmanns Erzählungen,1916,67
1836,"Homunculus, 1. Teil",1916,69
1841,Hoodoo Ann,1916,65
1845,Hulda from Holland,1916,
1848,The Hunted Woman,1916,50
1853,Idle Wives,1916,70
1854,If My Country Should Call,1916,50
1859,The Innocence of Ruth,1916,59
1860,The Innocent Lie,1916,50
1861,An Innocent Magdalene,1916,50
1863,Into the Primitive,1916,
1864,Intolerance: Love's Struggle Throughout the Ages,1916,163
1865,The Intrigue,1916,64
1867,The Iron Claw,1916,
1869,The Iron Woman,1916,60
1873,The Isle of Life,1916,50
1880,Judex,1916,300
1885,A karthausi,1916,
1887,King Lear,1916,63
1901,Less Than the Dust,1916,93
1903,Liberty,1916,400
1912,Little Mary Sunshine,1916,46
1917,The Lost Bridegroom,1916,50
1918,The Lottery Man,1916,50
1923,Love and Hate,1916,60
1928,Macbeth,1916,80
1930,Maciste alpino,1916,95
1931,Madame la Presidente,1916,50
1934,A magyar föld ereje,1917,
1945,The Man with the Glass Eye,1916,
1946,The Man Without a Soul,1916,
1953,Manhattan Madness,1916,50
1956,The Manxman,1916,90
1959,Maria Rosa,1916,50
1963,Marriage a la Carte,1916,
1967,The Matrimaniac,1916,46
1974,The Merchant of Venice,1916,85
1978,The Microscope Mystery,1916,50
1984,Ministerpresidenten,1916,51
2000,The Mother of Dartmoor,1917,
2003,The Mutiny of the Bounty,1916,55
2009,The Mysteries of Myra,1916,
2012,Nächte des Grauens,1917,56
2017,Nattens barn,1916,53
2018,The Ne'er-Do-Well,1915,100
2019,Nearly a King,1916,50
2020,The Net,1916,59
2032,Oliver Twist,1916,50
2035,One Day,1916,
2045,The Patriot,1916,50
2050,Peggy,1916,70
2062,Pikovaya dama,1916,63
2063,Pillars of Society,1916,50
2065,The Place Beyond the Winds,1916,50
2073,The Pool of Flame,1916,50
2074,Poor Little Peppina,1916,48
2076,Powder,1916,
2089,The Prince of Graustark,1916,50
2095,Pudd'nhead Wilson,1916,50
2096,Purity,1916,70
2097,The Purple Lady,1916,50
2106,The Rack,1916,50
2110,The Rail Rider,1916,50
2112,Ramona,1916,
2115,Redeeming Love,1916,50
2117,Reggie Mixes In,1916,50
2120,The Return of Draw Egan,1916,50
2123,The Right to Be Happy,1916,50
2130,Romeo and Juliet,1916,70
2131,Romeo and Juliet,1916,80
2135,Rupert of Hentzau,1915,50
2136,Rübezahls Hochzeit,1916,83
2145,The Scarlet Runner,1916,
2148,Schuhpalast Pinkus,1916,45
2151,The Secret Kingdom,1917,
2154,The Secret of the Submarine,1916,
2161,The Serpent,1916,60
2162,Seventeen,1916,50
2165,She,1916,
2167,Sherlock Holmes,1916,116
2168,The Shielding Shadow,1916,
2169,Shoes,1916,60
2170,The Shop Girl,1916,50
2176,A Sister of Six,1916,50
2182,Snow White,1916,63
2183,The Snowbird,1916,50
2186,The Social Secretary,1916,52
2187,Sold for Marriage,1916,50
2190,The Sons of Satan,1915,50
2211,Szulamit,1916,45
2213,Sunshine Dad,1916,50
2217,Susie Snowflake,1916,50
2218,The Suspect,1916,50
2219,Suzanne,1916,83
2221,Das Tagebuch des Dr. Hart,1918,82
2225,The Tarantula,1916,50
2226,The Target,1916,50
2238,The Three Godfathers,1916,60
2239,The Three Musketeers,1916,63
2242,Tigre reale,1916,80
2243,To Have and to Hold,1916,50
2245,Tom Brown's Schooldays,1916,75
2249,The Trail of the Lonesome Pine,1916,50
2258,"Ultus, the Man from the Dead",1915,
2262,Under Two Flags,1916,60
2263,Undine,1916,50
