id,id_pelicula,rating,nro_votos
1,1,5.4,226
2,2,5.3,562
4,4,6.0,1002
5,5,5.4,33
6,6,4.1,29
7,7,3.0,34
8,8,3.9,24
9,9,5.1,79
11,20,4.5,41
12,21,4.6,31
14,27,3.5,25
16,30,4.5,22
18,39,3.9,55
20,41,3.9,21
24,49,5.4,47
25,51,3.4,22
27,54,3.8,24
28,56,4.3,27
29,57,5.4,66
30,58,4.7,18
32,64,5.0,25
34,69,3.6,27
35,71,7.4,24
36,73,8.1,18
37,75,5.4,20
40,79,5.8,32
41,83,6.5,44
46,96,5.9,60
48,98,5.5,16
50,100,5.8,283
51,102,3.6,26
52,105,5.8,116
53,108,4.1,22
54,109,4.5,44
55,112,6.0,13
56,113,4.5,17
59,122,5.1,647
60,128,7.0,3836
61,131,5.9,87
62,137,6.4,154
63,139,5.8,680
66,148,7.8,33
70,160,5.2,44
71,161,5.0,28
72,163,6.6,1078
74,169,6.1,497
75,171,6.3,278
76,173,5.7,341
77,177,5.9,28
78,178,4.9,19
79,181,4.4,52
81,185,5.9,38
82,186,6.0,56
84,192,5.5,49
85,195,5.4,127
86,196,7.5,21
87,197,5.2,11
88,198,6.5,514
89,204,6.6,42
91,220,5.6,74
94,228,7.3,13
95,229,4.1,57
96,231,6.8,27
97,233,6.9,2642
98,239,5.9,114
99,242,6.9,187
100,245,5.6,49
101,246,4.9,85
102,250,5.7,30
103,255,3.5,38
104,256,5.5,28
105,257,5.6,28
106,260,7.0,1539
107,261,4.6,80
108,262,5.6,115
109,264,6.9,1794
110,277,6.1,167
111,278,4.3,14
112,282,6.6,203
113,286,7.2,18
114,287,5.8,59
115,289,6.9,1429
116,290,5.7,306
117,296,5.0,22
118,304,6.0,53
120,308,6.7,22
121,309,6.3,29
122,310,6.2,132
123,313,5.6,61
124,314,4.4,17
125,315,6.0,30
126,317,5.0,25
127,322,3.3,17
128,323,7.6,18
129,330,6.4,2568
131,333,5.7,35
133,335,5.5,30
135,342,5.9,770
136,344,6.1,652
138,350,5.7,21
139,353,5.2,30
140,355,6.3,53
141,357,6.7,29
142,358,5.3,42
143,359,6.1,47
145,362,4.5,29
146,363,6.1,72
147,365,4.6,21
148,366,6.4,28
149,367,6.4,23
150,369,6.4,18
152,372,5.1,16
153,375,3.3,23
154,379,5.2,28
155,381,4.3,34
156,383,6.0,22
157,384,6.0,19
158,385,6.2,517
159,387,6.4,1531
160,388,6.4,14
161,391,6.5,272
162,394,6.0,105
163,395,5.9,26
164,397,6.6,37
165,399,6.5,24
166,403,6.8,18
167,405,3.8,18
168,406,6.7,19
169,408,6.1,59
170,409,5.5,42
171,411,5.1,25
173,417,7.1,4178
174,419,5.0,52
175,422,6.4,18
176,423,8.1,20
177,425,5.6,17
178,433,3.6,21
179,434,7.8,16
180,435,6.0,1120
181,436,6.2,19
182,445,6.0,23
183,449,5.2,19
184,450,6.4,50
185,451,2.4,23
186,459,5.9,47
187,461,4.0,30
188,466,5.3,19
189,467,5.7,20
190,471,7.2,485
191,472,6.3,125
192,473,6.2,32
193,477,5.6,57
194,480,6.1,107
195,484,6.8,1514
196,488,6.7,1280
197,491,6.6,16
199,494,6.6,25
200,497,5.7,327
201,500,7.4,16
202,507,6.4,12
203,511,4.7,50
204,513,6.3,76
205,514,6.7,1295
206,515,6.2,32
207,519,6.2,21
208,522,6.9,15
209,524,6.9,126
210,528,6.8,731
211,532,5.3,558
212,536,5.6,175
213,537,2.7,20
214,541,6.4,780
215,548,5.8,568
216,549,6.1,16
217,553,3.6,60
218,554,7.9,24
219,560,4.8,58
220,562,6.2,1502
221,563,6.8,71
222,569,3.8,33
223,571,6.1,23
224,572,5.2,27
225,573,5.3,31
226,579,6.1,79
227,589,5.4,20
228,591,3.7,24
229,592,6.4,19
230,594,5.0,18
231,599,6.7,29
232,602,6.6,17
233,604,6.6,26
234,605,8.2,43
235,607,6.0,16
236,608,5.4,19
237,609,4.7,21
238,612,5.7,30
239,614,6.0,28
240,615,5.4,21
241,616,4.9,54
242,618,5.8,38
243,619,5.0,47
244,621,5.7,44
245,622,8.0,15
247,633,7.4,21
248,637,5.7,39
249,638,6.7,20
250,644,2.6,25
251,645,5.0,27
252,647,6.0,50
253,649,5.6,145
254,650,5.5,72
255,651,2.0,23
256,653,6.8,28
257,658,5.8,24
258,661,7.0,17
259,663,5.8,22
260,666,5.2,16
261,674,5.4,609
262,677,6.3,1108
263,689,7.0,18
264,694,3.5,20
265,699,5.7,70
266,701,5.4,22
267,703,5.8,44
268,707,3.5,50
269,709,5.9,83
270,710,6.6,34
272,717,5.1,20
273,721,5.9,78
274,733,5.8,120
275,736,7.8,19
276,737,5.6,1111
277,743,6.4,25
278,753,6.0,290
279,756,5.7,21
280,758,5.4,20
281,765,6.2,3832
282,766,6.7,10
283,769,6.1,265
284,774,2.4,28
285,775,4.3,38
286,779,5.1,35
287,780,5.6,210
288,785,7.0,24
289,788,5.6,278
290,796,7.0,13
291,797,5.8,16
292,799,6.3,29
293,807,6.4,371
294,813,5.3,57
295,816,6.4,32
296,817,5.8,220
297,821,5.0,40
299,826,7.8,22
300,832,4.8,27
302,835,6.6,300
303,836,6.1,897
304,838,4.4,18
305,842,6.0,18
306,844,4.0,26
307,847,5.3,54
308,849,7.0,42
309,851,5.7,16
310,860,7.8,18
311,861,5.2,13
312,863,4.3,22
313,872,6.5,27
314,873,8.0,14
315,877,6.1,27529
316,879,4.6,33
317,884,4.7,19
318,891,7.5,19
319,896,5.7,18
320,897,6.5,35
321,900,7.0,21
323,905,6.5,68
324,910,6.5,24
325,911,7.9,31
326,913,4.7,21
327,915,6.4,180
328,916,6.3,1146
329,917,4.4,53
330,918,5.1,25
331,925,6.5,82
332,926,6.5,2952
333,928,5.1,28
334,929,6.0,142
335,931,5.0,32
336,936,7.8,16
337,937,4.5,13
338,961,6.0,355
339,967,5.4,37
340,969,5.8,40
341,976,6.2,35
342,980,5.8,71
343,981,7.3,28
344,988,7.6,28
345,989,6.2,25
346,990,8.3,21
347,992,5.1,29
348,993,7.8,50
349,995,6.5,50
350,998,5.5,48
351,1000,5.2,163
352,1004,3.3,50
353,1005,6.9,25
354,1015,5.4,23
355,1023,7.2,15
356,1025,6.8,17
357,1028,6.4,389
358,1037,4.7,19
359,1039,7.2,15
361,1043,4.9,12
362,1044,8.8,16
363,1046,5.7,1115
364,1052,5.4,24
365,1053,7.1,46
366,1058,7.0,25
367,1060,5.6,16
368,1061,5.4,23
369,1068,5.2,26
370,1071,5.4,106
371,1072,6.3,34
372,1076,6.8,21
373,1077,5.2,88
374,1082,6.5,285
375,1084,6.2,24
376,1090,1.8,24
377,1093,4.0,12
378,1094,5.1,30
379,1096,7.2,15
380,1109,5.4,79
381,1124,7.1,16
382,1127,4.5,42
383,1128,3.8,45
384,1133,5.4,67
385,1135,6.7,453
387,1138,7.4,47
388,1145,6.9,42
389,1146,4.0,30
390,1147,8.0,20
391,1148,8.3,25
392,1149,6.6,502
393,1152,8.0,21
394,1153,4.5,39
395,1154,5.4,12
396,1155,6.1,17
397,1163,6.1,37
398,1165,5.2,17
399,1169,6.6,34
400,1170,6.1,29
401,1172,7.4,16
402,1174,5.7,66
403,1177,5.4,23
404,1179,7.0,16
405,1181,6.6,23
406,1182,6.2,68
407,1186,6.9,58
408,1188,5.6,19
409,1196,6.0,8
410,1197,7.2,19
411,1206,1.9,27
412,1212,5.9,229
413,1213,5.3,102
414,1214,5.7,60
415,1215,5.6,24
416,1225,5.9,39
417,1235,6.2,16
418,1237,5.7,224
419,1244,6.6,23
420,1247,6.6,39
421,1252,5.0,23
422,1254,7.5,21
423,1257,6.9,28
424,1266,4.3,30
425,1272,5.0,17
426,1278,5.4,18
427,1286,2.2,30
428,1290,5.6,37
429,1291,6.8,328
430,1292,6.4,17
431,1300,6.1,56
432,1301,6.0,18
433,1303,6.7,28
434,1304,5.5,92
435,1309,5.6,17
436,1317,6.3,34
437,1321,6.1,35
438,1324,4.8,20
439,1331,5.8,22
441,1334,6.7,32
442,1338,6.7,1095
443,1339,7.8,18
444,1340,7.8,17
445,1346,5.5,32
446,1348,5.7,29
447,1349,6.4,62
448,1353,5.4,19
449,1354,5.3,35
450,1356,6.6,86
451,1358,6.7,946
452,1359,5.4,144
453,1363,6.8,1508
454,1371,7.0,30
455,1373,7.0,21
456,1376,7.0,20
457,1378,5.7,27
459,1383,5.8,26
460,1389,6.3,20
461,1390,5.8,45
462,1414,5.9,19
463,1415,5.8,18
464,1424,5.9,20
465,1426,4.7,28
466,1435,6.2,20
467,1443,7.2,36
468,1444,5.3,74
470,1449,7.9,14
471,1455,5.3,22
472,1461,5.8,25
473,1462,3.3,38
474,1465,5.9,57
475,1472,5.7,150
476,1477,3.8,19
477,1483,2.7,30
478,1484,5.0,20
479,1486,6.3,27
480,1488,7.3,5713
481,1490,5.7,26
482,1493,2.6,33
483,1495,6.4,33
484,1505,7.0,43
485,1507,7.7,27
486,1509,5.6,28
487,1523,6.3,43
488,1525,2.5,29
489,1526,2.2,26
490,1529,6.3,38
491,1533,6.8,35
492,1537,8.2,24
493,1548,5.3,27
494,1554,5.8,234
496,1558,6.1,2143
497,1564,5.1,50
498,1567,5.0,30
500,1571,4.6,33
501,1575,6.1,139
502,1576,7.5,23
503,1577,6.1,96
504,1587,6.2,30
505,1588,7.8,34
506,1589,6.1,68
507,1596,6.7,23
508,1597,6.2,49
509,1604,5.7,67
510,1609,6.6,484
511,1611,7.2,80
512,1613,6.6,13
513,1614,5.9,21
514,1616,5.6,36
515,1617,3.8,20
516,1621,5.3,58
517,1626,5.4,29
518,1628,6.0,21
519,1629,7.6,32
520,1631,3.9,19
521,1634,7.1,34
522,1638,8.4,20
523,1639,7.2,17
524,1647,6.0,87
525,1648,6.1,155
526,1650,5.6,35
528,1654,6.4,16
529,1659,7.2,25
530,1661,6.9,52
531,1662,5.3,607
532,1664,6.2,89
533,1667,5.8,453
534,1678,7.8,103
535,1680,6.2,30
536,1682,6.3,34
537,1687,5.3,85
538,1689,4.6,15
539,1690,6.8,71
540,1692,6.7,24
541,1693,6.4,14
542,1697,5.4,19
543,1699,6.0,15
544,1702,7.5,15
545,1704,7.0,19
546,1705,6.4,198
547,1708,6.0,84
549,1715,6.4,27
550,1716,5.1,15
551,1718,6.4,319
552,1720,6.1,283
553,1723,5.5,51
554,1724,5.8,12
556,1727,4.2,15
557,1730,6.2,23
558,1733,4.2,9
559,1734,7.4,22
560,1735,6.1,21
561,1737,5.7,19
562,1740,6.5,33
563,1742,5.3,108
565,1746,6.7,15
566,1748,3.5,30
567,1752,5.2,41
569,1757,6.4,227
570,1760,5.0,41
571,1762,7.0,14
573,1764,5.9,25
574,1766,5.9,69
575,1768,5.7,42
576,1769,4.6,18
578,1774,4.6,19
579,1775,6.2,12
580,1776,4.9,20
581,1782,6.2,42
582,1787,5.9,674
583,1790,6.6,307
584,1791,6.6,21
585,1797,6.4,547
586,1802,5.8,86
587,1804,6.6,263
588,1806,5.8,18
589,1810,5.8,99
591,1815,6.0,22
592,1818,6.0,49
593,1822,6.7,1142
594,1833,5.9,202
595,1835,6.0,70
596,1836,5.9,130
597,1841,5.9,960
598,1845,6.3,22
599,1848,2.2,23
600,1853,5.7,54
601,1854,6.1,36
602,1859,6.1,58
603,1860,5.4,14
604,1861,6.4,57
605,1863,5.4,18
606,1864,7.7,17464
607,1865,6.1,56
608,1867,6.1,47
609,1869,6.4,16
610,1873,6.9,23
611,1880,7.2,1195
612,1885,4.4,33
613,1887,5.4,106
614,1901,5.8,63
615,1903,3.6,34
616,1912,6.1,61
617,1917,7.8,26
618,1918,5.7,48
619,1923,6.0,13
620,1928,5.9,40
622,1930,6.2,140
623,1931,7.7,18
624,1934,4.5,30
627,1945,4.6,12
628,1946,8.6,44
629,1953,6.1,115
630,1956,7.5,41
631,1959,6.7,31
632,1963,5.3,20
633,1967,6.4,659
634,1974,6.0,10
635,1978,5.0,23
636,1984,4.8,12
637,2000,8.5,36
638,2003,7.7,36
639,2009,5.7,40
641,2012,5.6,29
642,2017,5.9,26
643,2018,5.5,25
644,2019,7.9,45
645,2020,7.1,36
646,2032,6.9,39
647,2035,6.3,25
648,2045,7.5,23
650,2050,5.0,32
651,2062,6.6,893
652,2063,4.9,32
653,2065,5.9,49
654,2073,8.2,22
655,2074,6.1,96
656,2076,9.0,16
657,2089,4.9,21
658,2095,6.0,18
659,2096,5.7,27
660,2097,7.8,14
663,2106,7.4,17
664,2110,3.6,21
665,2112,7.3,28
666,2115,5.4,29
667,2117,5.4,627
669,2120,6.2,235
670,2123,4.9,52
671,2130,6.7,25
672,2131,7.1,34
673,2135,6.3,43
674,2136,5.3,45
676,2145,8.0,23
677,2148,5.6,327
678,2151,5.0,23
679,2154,5.6,23
680,2161,4.7,25
681,2162,7.3,21
682,2165,3.5,18
683,2167,6.2,510
684,2168,6.8,21
685,2169,6.9,856
686,2170,7.6,13
687,2176,5.2,32
688,2182,6.3,491
689,2183,5.1,30
690,2186,5.8,570
691,2187,6.4,123
692,2190,2.8,47
693,2211,5.7,22
694,2213,4.5,41
695,2217,5.8,17
696,2218,7.2,19
697,2219,5.3,16
698,2221,5.7,44
699,2225,7.8,13
700,2226,6.2,19
701,2238,7.5,59
702,2239,6.1,49
703,2242,6.6,146
704,2243,6.2,28
705,2245,5.6,36
706,2249,6.0,40
707,2258,5.2,17
708,2262,6.3,28
709,2263,4.4,22
710,2268,5.9,22
711,2274,6.2,22
712,2276,6.0,19
713,2278,5.7,23
715,2280,5.7,214
716,2282,6.1,22
717,2289,4.9,17
718,2292,6.0,31
719,2296,7.6,13
720,2302,6.3,907
721,2320,5.0,15
722,2322,6.0,67
723,2339,5.8,377
724,2342,6.8,30
725,2344,5.3,150
726,2345,6.8,21
727,2347,5.1,55
728,2350,6.8,18
729,2357,5.8,13
730,2367,7.1,26
